epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.77,1.09023,2.71738,1.50918,0.0071,1,0.76404,0.50292,0.91391,3.08513,1.42899,0.00026672,0.00026672,0.00026672
2,814.196,0.96394,1.99973,1.39761,0.00844,1,0.77595,0.44736,1.05293,3.04462,1.42785,0.0005416,0.0005416,0.0005416
3,1216.93,1.06588,1.39424,1.48193,0.89915,0.57592,0.86204,0.60789,0.89828,2.41272,1.45998,0.000807714,0.000807714,0.000807714
4,1617.74,1.07156,1.23295,1.46615,0.86066,0.7,0.84406,0.5413,0.94722,2.07448,1.58214,0.00106506,0.00106506,0.00106506
5,2017.27,1.07167,1.13842,1.41958,0.69348,0.64892,0.7236,0.33362,1.45796,2.26685,2.20552,0.00131364,0.00131364,0.00131364
6,2417.77,1.07193,1.11765,1.42771,0.42159,0.42,0.37757,0.16671,1.59522,2.62424,2.17371,0.00153807,0.00153807,0.00153807
7,2817.67,1.0624,1.03984,1.38987,0.67144,0.66,0.67557,0.4369,1.17973,1.98735,1.73452,0.00151228,0.00151228,0.00151228
8,3214.87,1.05378,1.0732,1.43165,0.7167,0.83906,0.79074,0.49964,1.341,1.60702,1.92444,0.0014865,0.0014865,0.0014865
9,3612.02,0.99434,1.00994,1.37635,0.75252,0.8092,0.87919,0.59445,1.09079,1.52811,1.61729,0.00146071,0.00146071,0.00146071
10,4010.4,1.02019,0.94035,1.40466,0.78602,0.76299,0.82255,0.49988,1.17786,1.58307,1.72346,0.00143492,0.00143492,0.00143492
11,4406.56,0.99604,0.94816,1.39537,0.85841,0.72789,0.83583,0.49665,1.31377,1.56797,1.88334,0.00140914,0.00140914,0.00140914
12,4804.15,1.0016,0.90368,1.36119,0.8701,0.90606,0.95737,0.72901,0.88288,1.03945,1.37317,0.00138335,0.00138335,0.00138335
13,5204.27,0.98873,0.87424,1.35788,0.81663,0.96,0.94472,0.64077,1.00218,1.0479,1.53428,0.00135756,0.00135756,0.00135756
14,5600.47,0.91108,0.79169,1.29856,0.84491,0.96,0.98787,0.70735,0.97829,0.95257,1.51488,0.00133178,0.00133178,0.00133178
15,5996.29,0.92616,0.78171,1.31875,0.87844,0.97686,0.98805,0.68574,1.06414,0.96525,1.51605,0.00130599,0.00130599,0.00130599
16,6393.24,0.90377,0.77155,1.30369,0.96108,0.98358,0.99346,0.67475,1.05237,0.79707,1.47655,0.0012802,0.0012802,0.0012802
17,6790.29,0.89144,0.73845,1.28682,0.926,0.94,0.98721,0.71908,0.89849,0.90223,1.37377,0.00125442,0.00125442,0.00125442
18,7189.23,0.878,0.71481,1.26301,0.96291,0.95605,0.98976,0.77655,0.74763,0.90704,1.27431,0.00122863,0.00122863,0.00122863
19,7593.35,0.84586,0.70431,1.27292,0.95539,0.90178,0.98836,0.71875,0.8856,0.91445,1.38628,0.00120284,0.00120284,0.00120284
20,7993.08,0.82177,0.66473,1.23993,0.99041,0.99184,0.995,0.8147,0.70516,0.5883,1.19512,0.00117706,0.00117706,0.00117706
21,8393.53,0.85813,0.69872,1.28488,0.9614,0.92,0.97649,0.75421,0.75249,0.66512,1.28315,0.00115127,0.00115127,0.00115127
